{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_P', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'none'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'none'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_P', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'severe'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_P', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_P', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'P', 'T': 'T_P', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_P', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_P', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'severe'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_P', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_P', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_P', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'severe'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_P', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_P', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_P', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'none'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_P', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_P', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_P', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'none'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'severe'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'mild'}
{'S': 'P', 'F': 'P', 'G': 'P', 'T': 'T_A', 'D': 'mild'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'none'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_P', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'mild'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_P', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_P', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_P', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_P', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'severe'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_P', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_P', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_P', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'none'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'P', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_P', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'P', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'none'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'P', 'F': 'A', 'G': 'P', 'T': 'T_A', 'D': 'NA'}
{'S': 'A', 'F': 'A', 'G': 'A', 'T': 'T_A', 'D': 'none'}
